Classification	Family
Streptococcus_sp000187445	Streptococcaceae
Fusobacterium_A_mortiferum	Fusobacteriaceae
Faecalibacterium_prausnitzii_G	Ruminococcaceae
Bifidobacterium_sp002742445	Bifidobacteriaceae
Escherichia_flexneri	Enterobacteriaceae
Haemophilus_D_parainfluenzae	Pasteurellaceae
Succinivibrio_sp000431835	Succinivibrionaceae
Prevotella_sp900553155	Bacteroidaceae
Prevotella_stercorea	Bacteroidaceae
Prevotella_sp900543975	Bacteroidaceae
Prevotellamassilia_sp900542795	Bacteroidaceae
Prevotellamassilia_sp900541575	Bacteroidaceae
Prevotellamassilia_sp900539625	Bacteroidaceae
Phocaeicola_sp000434735	Bacteroidaceae
unclassified	unclassified
