Classification	Family
Streptococcus_sp900543065	Streptococcaceae
Streptococcus_sp000187445	Streptococcaceae
Ligilactobacillus_ruminis	Lactobacillaceae
Catenibacterium_sp000437715	Erysipelatoclostridiaceae
Faecalibacterium_prausnitzii_G	Ruminococcaceae
Blautia_A_wexlerae	Lachnospiraceae
Dorea_longicatena_B	Lachnospiraceae
Agathobacter_rectalis	Lachnospiraceae
Enterocloster_sp900541315	Lachnospiraceae
CAG-81_sp900066535	Lachnospiraceae
Lachnospira_sp000436475	Lachnospiraceae
Clostridium_sp900540255	Clostridiaceae
Clostridium_sp001916075	Clostridiaceae
Megasphaera_sp900540735	Megasphaeraceae
Bifidobacterium_longum	Bifidobacteriaceae
Bifidobacterium_breve	Bifidobacteriaceae
Collinsella_aerofaciens_H	Coriobacteriaceae
Parolsenella_uli_A	Atopobiaceae
Escherichia_flexneri	Enterobacteriaceae
Bacteroides_fragilis	Bacteroidaceae
Phocaeicola_plebeius	Bacteroidaceae
Phocaeicola_coprocola	Bacteroidaceae
unclassified	unclassified
