Classification	Family
Streptococcus_sp900543065	Streptococcaceae
Streptococcus_sp000187445	Streptococcaceae
Limosilactobacillus_mucosae	Lactobacillaceae
Ligilactobacillus_ruminis	Lactobacillaceae
Bifidobacterium_infantis	Bifidobacteriaceae
Bifidobacterium_breve	Bifidobacteriaceae
Bifidobacterium_kashiwanohense_A	Bifidobacteriaceae
Parolsenella_uli_B	Atopobiaceae
Escherichia_flexneri	Enterobacteriaceae
Prevotella_copri_A	Bacteroidaceae
Bacteroides_fragilis	Bacteroidaceae
Campylobacter_D_jejuni	Campylobacteraceae
Helicobacter_B_fennelliae	Helicobacteraceae
Veillonella	Veillonellaceae
Rothia	Micrococcaceae
Collinsella	Coriobacteriaceae
unclassified	unclassified
