Classification	Family
Faecalibacterium_prausnitzii_G	Ruminococcaceae
Ruminococcus_A_sp000437095	Lachnospiraceae
Clostridium_P_perfringens	Clostridiaceae
Veillonella_A_sp000431435	Veillonellaceae
Bifidobacterium_breve	Bifidobacteriaceae
Bifidobacterium_bifidum	Bifidobacteriaceae
Bifidobacterium_kashiwanohense_A	Bifidobacteriaceae
Collinsella_aerofaciens_H	Coriobacteriaceae
Escherichia_coli	Enterobacteriaceae
Prevotella_copri_A	Bacteroidaceae
Helicobacter_F_sp002287135	Helicobacteraceae
Blautia_A	Lachnospiraceae
unclassified	unclassified
