Classification	Family
Streptococcus_salivarius	Streptococcaceae
Enterococcus_B_faecium	Enterococcaceae
Peptoniphilus_A_lacydonensis	Peptoniphilaceae
Veillonella_parvula_A	Veillonellaceae
Bifidobacterium_longum	Bifidobacteriaceae
Bifidobacterium_breve	Bifidobacteriaceae
Bifidobacterium_bifidum	Bifidobacteriaceae
Cutibacterium_avidum	Propionibacteriaceae
Escherichia_coli_D	Enterobacteriaceae
Klebsiella_pneumoniae	Enterobacteriaceae
Enterococcus_A	Enterococcaceae
Finegoldia	Helcococcaceae
unclassified	unclassified
