Classification	Family
Streptococcus_sp000187445	Streptococcaceae
Ligilactobacillus_ruminis	Lactobacillaceae
Megasphaera_sp900540735	Megasphaeraceae
Dialister_sp000434475	Dialisteraceae
Bifidobacterium_longum	Bifidobacteriaceae
Bifidobacterium_breve	Bifidobacteriaceae
Bifidobacterium_bifidum	Bifidobacteriaceae
Bifidobacterium_kashiwanohense_A	Bifidobacteriaceae
Collinsella_aerofaciens_H	Coriobacteriaceae
Collinsella_sp900556495	Coriobacteriaceae
Parolsenella_sp900549525	Atopobiaceae
Escherichia_flexneri	Enterobacteriaceae
Campylobacter_D_jejuni	Campylobacteraceae
Brachyspira_pilosicoli	Brachyspiraceae
unclassified	unclassified
