Classification	Family
Enterococcus_faecalis	Enterococcaceae
Fusicatenibacter_saccharivorans	Lachnospiraceae
UBA11774_sp003507655	Lachnospiraceae
Anaerococcus_obesiensis	Helcococcaceae
Finegoldia_magna_F	Helcococcaceae
Clostridium_baratii	Clostridiaceae
Negativicoccus_succinicivorans	Negativicoccaceae
Bifidobacterium_longum	Bifidobacteriaceae
Pauljensenia_radingae	Actinomycetaceae
Gleimia_europaea_A	Actinomycetaceae
Varibaculum_cambriense_A	Actinomycetaceae
Actinomyces_urogenitalis	Actinomycetaceae
Cutibacterium_avidum	Propionibacteriaceae
Escherichia_coli	Enterobacteriaceae
Dysgonomonas_capnocytophagoides	Dysgonomonadaceae
Peptoniphilus_C	Peptoniphilaceae
Peptoniphilus_C	Peptoniphilaceae
unclassified	unclassified
