Classification	Family
Streptococcus_gordonii	Streptococcaceae
Streptococcus_sp001556435	Streptococcaceae
Enterococcus_B_faecium	Enterococcaceae
Enterococcus_faecalis	Enterococcaceae
Clostridioides_difficile	Peptostreptococcaceae
Finegoldia_magna_F	Helcococcaceae
Clostridium_paraputrificum	Clostridiaceae
Veillonella_parvula_A	Veillonellaceae
Veillonella_rogosae	Veillonellaceae
Negativicoccus_succinicivorans	Negativicoccaceae
Bifidobacterium_longum	Bifidobacteriaceae
Lancefieldella_sp000564995	Atopobiaceae
Escherichia_coli	Enterobacteriaceae
Enterobacter_himalayensis	Enterobacteriaceae
Klebsiella_A_michiganensis	Enterobacteriaceae
Pauljensenia	Actinomycetaceae
unclassified	unclassified
