Classification	Family
Streptococcus_sp900543065	Streptococcaceae
Streptococcus_lutetiensis	Streptococcaceae
Streptococcus_sp000187445	Streptococcaceae
Ligilactobacillus_ruminis	Lactobacillaceae
Escherichia_coli_D	Enterobacteriaceae
Enterobacter_cloacae	Enterobacteriaceae
Streptococcus	Streptococcaceae
unclassified	unclassified
