Classification	Family
Streptococcus_lutetiensis	Streptococcaceae
Streptococcus_sp000187445	Streptococcaceae
Weissella_confusa	Lactobacillaceae
Ligilactobacillus_ruminis	Lactobacillaceae
Catenibacterium_sp000437715	Erysipelatoclostridiaceae
Ureaplasma_sp900544585	Mycoplasmoidaceae
Faecalibacterium_prausnitzii_G	Ruminococcaceae
Agathobacter_rectalis	Lachnospiraceae
Lachnospira_sp000436475	Lachnospiraceae
Megasphaera_sp900540735	Megasphaeraceae
Megamonas_funiformis	Selenomonadaceae
Bifidobacterium_longum	Bifidobacteriaceae
Bifidobacterium_bifidum	Bifidobacteriaceae
Bifidobacterium_sp002742445	Bifidobacteriaceae
Collinsella_aerofaciens_H	Coriobacteriaceae
Escherichia_flexneri	Enterobacteriaceae
Prevotella_stercorea	Bacteroidaceae
Cetobacterium_A	Fusobacteriaceae
Veillonella	Veillonellaceae
Campylobacter	Campylobacteraceae
unclassified	unclassified
