Classification	Family
Streptococcus_sp000187445	Streptococcaceae
Megasphaera_sp900540735	Megasphaeraceae
Bifidobacterium_longum	Bifidobacteriaceae
Escherichia_flexneri	Enterobacteriaceae
Prevotella_sp000434515	Bacteroidaceae
Prevotella_sp900290275	Bacteroidaceae
Veillonella	Veillonellaceae
Veillonella_2	Veillonellaceae
unclassified	unclassified
